"","SAR","case"
"1",1e-06,9.99842616136171e-05
"2",0.005,9.99842616136171e-05
"3",0.01,9.99842616136171e-05
"4",0.015,9.99842616136171e-05
"5",0.02,9.99842616136171e-05
"6",0.025,9.99842616136171e-05
"7",0.03,9.99842616136171e-05
"8",0.035,9.99842616136171e-05
"9",0.04,9.99842616136171e-05
"10",0.045,9.99842616136171e-05
"11",0.05,9.99842616136171e-05
"12",0.055,9.99842616136171e-05
"13",0.06,9.99842616136171e-05
"14",0.065,9.99842616136171e-05
"15",0.07,9.99842616136171e-05
"16",0.075,9.99842616136171e-05
"17",0.08,9.99842616136171e-05
"18",0.085,9.99842616136171e-05
"19",0.09,9.99842616136171e-05
"20",0.095,9.99842616136171e-05
"21",0.1,9.99842616136171e-05
"22",0.105,9.99842616136171e-05
"23",0.11,9.99842616136171e-05
"24",0.115,9.99842616136171e-05
"25",0.12,9.99842616136171e-05
"26",0.125,9.99842616136171e-05
"27",0.13,9.99842616136171e-05
"28",0.135,9.99842616136171e-05
"29",0.14,9.99842616136171e-05
"30",0.145,9.99842616136171e-05
"31",0.15,9.99842616136171e-05
"32",0.155,9.99842616136171e-05
"33",0.16,9.99842616136171e-05
"34",0.165,9.99842616136171e-05
"35",0.17,9.99842616136171e-05
"36",0.175,9.99842616136171e-05
"37",0.18,9.99842616136171e-05
"38",0.185,9.99842616136171e-05
"39",0.19,9.99842616136171e-05
"40",0.195,9.99842616136171e-05
"41",0.2,9.99842616136171e-05
"42",0.205,9.99842616136171e-05
"43",0.21,9.99842616136171e-05
"44",0.215,9.99842616136171e-05
"45",0.22,9.99842616136171e-05
"46",0.225,9.99842616136171e-05
"47",0.23,9.99842616136171e-05
"48",0.235,9.99842616136171e-05
"49",0.24,9.99842616136171e-05
"50",0.245,9.99842616136171e-05
"51",0.25,9.99842616136171e-05
"52",0.255,9.99842616136171e-05
"53",0.26,9.99842616136171e-05
"54",0.265,9.99842616136171e-05
"55",0.27,9.99842616136171e-05
"56",0.275,9.99842616136171e-05
"57",0.28,9.99842616136171e-05
"58",0.285,9.99842616136171e-05
"59",0.29,9.99842616136171e-05
"60",0.295,9.99842616136171e-05
"61",0.3,9.99842616136171e-05
"62",0.305,9.99842616136171e-05
"63",0.31,9.99842616136171e-05
"64",0.315,9.99842616136171e-05
"65",0.32,9.99842616136171e-05
"66",0.325,9.99842616136171e-05
"67",0.33,9.99842616136171e-05
"68",0.335,9.99842616136171e-05
"69",0.34,9.99842616136171e-05
"70",0.345,9.99842616136171e-05
"71",0.35,9.99842616136171e-05
"72",0.355,9.99842616136171e-05
"73",0.36,9.99842616136171e-05
"74",0.365,9.99842616136171e-05
"75",0.37,9.99842616136171e-05
"76",0.375,9.99842616136171e-05
"77",0.38,9.99842616136171e-05
"78",0.385,9.99842616136171e-05
"79",0.39,9.99842616136171e-05
"80",0.395,9.99842616136171e-05
"81",0.4,9.99842616136171e-05
"82",0.405,9.99842616136171e-05
"83",0.41,9.99842616136171e-05
"84",0.415,9.99842616136171e-05
"85",0.42,9.99842616136171e-05
"86",0.425,9.99842616136171e-05
"87",0.43,9.99842616136171e-05
"88",0.435,9.99842616136171e-05
"89",0.44,9.99842616136171e-05
"90",0.445,9.99842616136171e-05
"91",0.45,9.99842616136171e-05
"92",0.455,9.99842616136171e-05
"93",0.46,9.99842616136171e-05
"94",0.465,9.99842616136171e-05
"95",0.47,9.99842616136171e-05
"96",0.475,9.99842616136171e-05
"97",0.48,9.99842616136171e-05
"98",0.485,9.99842616136171e-05
"99",0.49,9.99842616136171e-05
"100",0.495,9.99842616136171e-05
"101",0.5,9.99842616136171e-05
"102",0.505,9.99842616136171e-05
"103",0.51,9.99842616136171e-05
"104",0.515,9.99842616136171e-05
"105",0.52,9.99842616136171e-05
"106",0.525,9.99842616136171e-05
"107",0.53,9.99842616136171e-05
"108",0.535,9.99842616136171e-05
"109",0.54,9.99842616136171e-05
"110",0.545,9.99842616136171e-05
"111",0.55,9.99842616136171e-05
"112",0.555,9.99842616136171e-05
"113",0.56,9.99842616136171e-05
"114",0.565,9.99842616136171e-05
"115",0.57,9.99842616136171e-05
"116",0.575,9.99842616136171e-05
"117",0.58,9.99842616136171e-05
"118",0.585,9.99842616136171e-05
"119",0.59,9.99842616136171e-05
"120",0.595,9.99842616136171e-05
"121",0.6,9.99842616136171e-05
"122",0.605,9.99842616136171e-05
"123",0.61,9.99842616136171e-05
"124",0.615,9.99842616136171e-05
"125",0.62,9.99842616136171e-05
"126",0.625,9.99842616136171e-05
"127",0.63,9.99842616136171e-05
"128",0.635,9.99842616136171e-05
"129",0.64,9.99842616136171e-05
"130",0.645,9.99842616136171e-05
"131",0.65,9.99842616136171e-05
"132",0.655,9.99842616136171e-05
"133",0.66,9.99842616136171e-05
"134",0.665,9.99842616136171e-05
"135",0.67,9.99842616136171e-05
"136",0.675,9.99842616136171e-05
"137",0.68,9.99842616136171e-05
"138",0.685,9.99842616136171e-05
"139",0.69,9.99842616136171e-05
"140",0.695,9.99842616136171e-05
"141",0.7,9.99842616136171e-05
"142",0.705,9.99842616136171e-05
"143",0.71,9.99842616136171e-05
"144",0.715,9.99842616136171e-05
"145",0.72,9.99842616136171e-05
"146",0.725,9.99842616136171e-05
"147",0.73,9.99842616136171e-05
"148",0.735,9.99842616136171e-05
"149",0.74,9.99842616136171e-05
"150",0.745,0.000199937099097713
"151",0.75,0.000499607841258909
"152",0.755,0.000898733497235904
"153",0.76,0.00129736584664419
"154",0.765,0.00169550927509521
"155",0.77,0.00219250737251708
"156",0.775,0.00258956575772706
"157",0.78,0.00298614819858245
"158",0.785,0.0034812125325443
"159",0.79,0.00387673732649541
"160",0.795,0.00437049055485428
"161",0.8,0.00476497492558225
"162",0.805,0.00525743782995902
"163",0.81,0.00574919237186866
"164",0.815,0.00614208988910059
"165",0.82,0.00663258387185328
"166",0.825,0.00712238527549502
"167",0.83,0.0076114994127594
"168",0.835,0.00809993144378884
"169",0.84,0.00858768638565
"170",0.845,0.00907476912088623
"171",0.85,0.00965838777800554
"172",0.855,0.0101440082306768
"173",0.86,0.0106289712823915
"174",0.865,0.0112100653549306
"175",0.87,0.011693597449717
"176",0.875,0.0121764858553403
"177",0.88,0.0127551080205247
"178",0.885,0.0132365945736095
"179",0.89,0.0138135459713115
"180",0.895,0.0143895954426345
"181",0.9,0.0148689523444006
"182",0.905,0.0154433648905907
"183",0.91,0.0160168933635246
"184",0.915,0.0165895437959088
"185",0.92,0.0171613220904079
"186",0.925,0.0176371419583561
"187",0.93,0.018207336254478
"188",0.935,0.018776674478052
"189",0.94,0.0193451620817842
"190",0.945,0.0199128044121223
"191",0.95,0.0204796067133149
"192",0.955,0.0211398212210295
"193",0.96,0.021704820985998
"194",0.965,0.0222689966964278
"195",0.97,0.0228323532094359
"196",0.975,0.0233948952974811
"197",0.98,0.0240501713109336
"198",0.985,0.0246109647976881
"199",0.99,0.0251709584452154
"200",0.995,0.0258232793905318
"201",1,0.0263815552196033
