year,week,source_SK,new_suspect_SK,source_DRC,new_suspect_DRC,sitrep20_DRC,sitrep25_DRC,sitrep20_SK,sitrep25_SK
2023,1,-,-,sitrep20,150,150,-,-,-
2023,2,-,-,sitrep20,138,138,-,-,-
2023,3,-,-,sitrep20,107,107,-,-,-
2023,4,-,-,sitrep20,140,140,-,-,-
2023,5,-,-,sitrep20,123,123,-,-,-
2023,6,-,-,sitrep20,151,151,-,-,-
2023,7,-,-,sitrep20,137,137,-,-,-
2023,8,-,-,sitrep20,105,105,-,-,-
2023,9,-,-,sitrep20,150,150,-,-,-
2023,10,-,-,sitrep20,178,178,-,-,-
2023,11,-,-,sitrep20,188,188,-,-,-
2023,12,-,-,sitrep20,245,245,-,-,-
2023,13,-,-,sitrep20,250,250,-,-,-
2023,14,-,-,sitrep20,284,284,-,-,-
2023,15,-,-,sitrep20,298,298,-,-,-
2023,16,-,-,sitrep20,312,312,-,-,-
2023,17,-,-,sitrep20,329,329,-,-,-
2023,18,-,-,sitrep20,371,371,-,-,-
2023,19,-,-,sitrep20,351,351,-,-,-
2023,20,-,-,sitrep20,312,312,-,-,-
2023,21,-,-,sitrep20,293,293,-,-,-
2023,22,-,-,sitrep20,302,302,-,-,-
2023,23,-,-,sitrep20,346,346,-,-,-
2023,24,-,-,sitrep20,273,273,-,-,-
2023,25,-,-,sitrep20,345,345,-,-,-
2023,26,-,-,sitrep20,309,309,-,-,-
2023,27,-,-,sitrep20,372,372,-,-,-
2023,28,-,-,sitrep20,341,341,-,-,-
2023,29,-,-,sitrep20,413,413,-,-,-
2023,30,-,-,sitrep20,464,464,-,-,-
2023,31,-,-,sitrep20,457,457,-,-,-
2023,32,-,-,sitrep20,515,515,-,-,-
2023,33,-,-,sitrep20,488,488,-,-,-
2023,34,-,-,sitrep20,284,284,-,-,-
2023,35,-,-,sitrep20,493,493,-,-,-
2023,36,-,-,sitrep20,494,494,-,-,-
2023,37,-,-,sitrep20,492,492,-,-,-
2023,38,-,-,sitrep20,371,371,-,-,-
2023,39,-,-,sitrep20,391,391,-,-,-
2023,40,-,-,sitrep20,502,502,-,-,-
2023,41,-,-,sitrep20,231,231,-,-,-
2023,42,-,-,sitrep20,316,316,-,-,-
2023,43,-,-,sitrep20,344,344,-,-,-
2023,44,-,-,sitrep20,219,219,-,-,-
2023,45,-,-,sitrep20,250,250,-,-,-
2023,46,-,-,sitrep20,259,259,-,-,-
2023,47,-,-,sitrep20,238,238,-,-,-
2023,48,-,-,sitrep20,161,161,-,-,-
2023,49,-,-,sitrep20,80,80,-,-,-
2023,50,-,-,sitrep20,143,143,-,-,-
2023,51,-,-,sitrep20,244,244,-,-,-
2023,52,-,-,sitrep20,143,143,-,-,-
2024,1,sitrep20,12,sitrep20,271,271,290,12,7
2024,2,sitrep20,11,sitrep20,315,315,341,11,6
2024,3,sitrep20,8,sitrep20,293,293,312,8,3
2024,4,sitrep20,11,sitrep20,363,363,392,11,6
2024,5,sitrep20,6,sitrep20,433,433,472,6,2
2024,6,sitrep20,7,sitrep20,561,561,610,7,3
2024,7,sitrep20,6,sitrep20,575,575,624,6,2
2024,8,sitrep20,16,sitrep20,644,644,697,16,12
2024,9,sitrep20,11,sitrep20,377,377,407,11,6
2024,10,sitrep20,17,sitrep20,381,381,407,17,12
2024,11,sitrep20,18,sitrep20,296,296,319,18,14
2024,12,sitrep20,15,sitrep20,286,286,305,15,10
2024,13,sitrep20,27,sitrep20,271,271,290,27,22
2024,14,sitrep20,26,sitrep20,294,294,312,26,21
2024,15,sitrep20,27,sitrep20,255,255,269,27,22
2024,16,sitrep20,18,sitrep25,254,240,254,18,14
2024,17,sitrep20,44,sitrep25,276,260,276,44,39
2024,18,sitrep20,57,sitrep25,479,444,479,57,51
2024,19,sitrep20,86,sitrep25,588,592,588,86,81
2024,20,sitrep20,81,sitrep25,501,462,501,81,77
2024,21,sitrep20,71,sitrep25,479,443,479,71,66
2024,22,sitrep20,98,sitrep25,457,421,457,98,94
2024,23,sitrep20,153,sitrep25,544,500,544,153,148
2024,24,sitrep20,135,sitrep25,515,478,515,135,130
2024,25,sitrep20,214,sitrep25,552,502,552,214,208
2024,26,sitrep25,206,sitrep25,711,-,711,-,206
2024,27,sitrep25,300,sitrep25,907,-,907,-,300
2024,28,sitrep25,404,sitrep25,936,-,936,-,404
2024,29,sitrep25,308,sitrep25,958,-,958,-,308
2024,30,sitrep25,288,sitrep25,965,-,965,-,288
2024,31,sitrep25,379,sitrep25,1024,-,1024,-,379
2024,32,sitrep25,459,sitrep25,1125,-,1125,-,459
2024,33,sitrep25,606,sitrep25,1372,-,1372,-,606
